word,value,count
the,25,60
and,52,37
of,22,29
is,15,24
That,26,16
He,16,15
His,18,15
be,33,14
to,19,11
Grade,66,10
This,27,10
Him,24,9
Magus,77,9
a,5,8
in,24,8
woe,31,8
By,38,7
shall,25,7
which,16,7
let,23,6
Mystery,108,6
For,36,5
From,57,5
with,20,5
Yet,40,5
curse,69,4
How,21,4
it,9,4
not,43,4
One,47,4
then,49,4
unto,68,4
being,68,3
Falsehood,92,3
Law,14,3
Love,46,3
may,44,3
method,79,3
Seven,87,3
three,52,3
Truth,60,3
upon,63,3
Word,55,3
action,50,2
All,7,2
also,31,2
an,29,2
another,78,2
are,32,2
as,20,2
attainment,119,2
before,82,2
Book,57,2
burden,119,2
but,54,2
called,45,2
cease,48,2
Change,58,2
combine,90,2
darkness,126,2
enslave,93,2
first,50,2
hath,20,2
here,43,2
Himself,65,2
into,43,2
Ipsissimus,110,2
its,24,2
known,83,2
made,62,2
Magister,88,2
meditation,114,2
men,58,2
must,70,2
other,49,2
power,49,2
sealed,70,2
Selflessness,152,2
Sorrow,71,2
speak,54,2
speech,50,2
therein,76,2
thereof,74,2
These,53,2
through,75,2
times,58,2
uplifted,87,2
weapons,79,2
without,64,2
writing,66,2
yea,36,2
abstinence,125,1
according,91,1
actions,65,1
adumbrated,158,1
again,45,1
Arab,44,1
ardour,91,1
art,28,1
at,14,1
attain,52,1
Axle,25,1
been,70,1
beginning,127,1
beware,73,1
bindeth,92,1
both,42,1
Buddhists,133,1
CHAOS,35,1
clearly,54,1
Coin,36,1
conjuration,130,1
contemplate,111,1
contemplation,132,1
craft,42,1
createth,68,1
Cup,31,1
Dagger,77,1
declare,71,1
declared,94,1
destroy,102,1
destroyeth,127,1
directly,80,1
doth,45,1
each,23,1
earth,44,1
easy,51,1
elements,109,1
end,60,1
evil,36,1
existeth,68,1
Fear,44,1
fierceness,121,1
Following,77,1
forces,66,1
Form,57,1
Forms,72,1
forth,48,1
four,61,1
fulfil,51,1
fulfilled,88,1
further,90,1
gentleness,138,1
given,70,1
glamour,87,1
God,44,1
have,43,1
Hindu,75,1
if,12,1
Illusion,76,1
Incarnation,117,1
Infinity,87,1
Initiation,81,1
interplay,88,1
Jew,28,1
Joy,35,1
lamp,31,1
last,30,1
less,44,1
Liber,48,1
Life,26,1
Light,24,1
lowest,56,1
Man,50,1
manifested,135,1
manliness,118,1
matter,71,1
Mercury,107,1
mind,68,1
Mother,70,1
much,51,1
Nature,90,1
Nerodha-Samapatti,165,1
Nevertheless,155,1
nine,61,1
no,34,1
none,71,1
Nothing,81,1
Now,42,1
number,117,1
on,34,1
Opening,86,1
Original,65,1
Pan,33,1
parts,47,1
performed,124,1
Practicus,76,1
preacheth,66,1
present,92,1
preserveth,120,1
quietness,130,1
raising,69,1
reason,81,1
redeemeth,122,1
Redemption,131,1
reflecteth,89,1
refuseth,104,1
Sat-Chit-Ananda,129,1
saying,73,1
Self,41,1
send,75,1
servility,92,1
shapen,64,1
Silence,68,1
simple,54,1
so,25,1
soul,51,1
souls,66,1
Spirits,57,1
Stability,77,1
success,87,1
teacheth,57,1
than,41,1
there,52,1
therefore,101,1
Thus,52,1
time,43,1
together,82,1
toucheth,74,1
trance,67,1
trinity,74,1
turn,72,1
turneth,97,1
twain,46,1
ultimate,83,1
under,99,1
understandeth,200,1
Understanding,210,1
Unrighteousness,216,1
utter,70,1
uttereth,95,1
vultures,124,1
Wand,60,1
was,28,1
What,25,1
wheel,38,1
Wherein,75,1
whole,35,1
will,10,1
Wisdom,77,1
world,56,1
Worlds,71,1
written,77,1
XXVII,34,1